,taxon_id,GCF_000002765.6_genus,GCF_000007345.1_genus,GCF_000012325.1_genus,GCF_000016525.1_genus,GCF_000063445.1_genus,GCF_000150955.2_genus,GCF_000204415.1_genus,GCF_000208865.1_genus,GCF_000967895.1_genus,GCF_001653755.1_genus,GCF_002287195.1_genus,GCF_002310855.1_genus,GCF_009362255.1_genus,GCF_030704535.1_genus,GCF_032362555.1_genus
Thiobacillus,919.0,,,,,,,,,,,,,,9.523809523809523e-07,
Spirulina,1154.0,,,,,,,,,,,,,,9.523809523809523e-07,
Lactobacillus,1578.0,,,,,,,,,,,,,,9.523809523809523e-07,
Brevibacterium,1696.0,,,,,,,,,,,,,,9.523809523809523e-07,
Eubacterium,1730.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Thermoanaerobacter,1754.0,,,,,,,,,,,,,,9.523809523809523e-07,
Carnobacterium,2747.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Cryptomonas,3030.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Euglena,3038.0,,,,,,,,,,,,,,9.523809523809523e-07,
Prototheca,3110.0,,,,,,,,,,,,,,9.523809523809523e-07,9.09090909090909e-07
Codium,3132.0,,,,,,,,,,,,,,9.523809523809523e-07,
Pedinomonas,3158.0,,,,,,,,,,,,,,9.523809523809523e-07,3.121212121212121e-05
Zygosaccharomyces,4953.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-06
Debaryomyces,4958.0,,,,,,,,,,,,,,9.523809523809523e-07,
Talaromyces,5094.0,,,,,,,,,,,,,,9.523809523809523e-07,2.121212121212121e-06
Trametes,5324.0,,,,,,,,,,,,,,9.523809523809523e-07,4.5454545454545455e-06
Boletus,5369.0,,,,,,,,,,,,,,9.523809523809523e-07,1.2121212121212122e-06
Xerocomus,5385.0,,,,,,,,,,,,,,9.523809523809523e-07,6.060606060606061e-07
Agrocybe,5399.0,,,,,,,,,,,,,,9.523809523809523e-07,9.09090909090909e-07
Scytalidium,5538.0,,,,,,,,,,,,,,9.523809523809523e-07,
Trichophyton,5550.0,,,,,,,,,,,,,,9.523809523809523e-07,9.09090909090909e-07
Laetiporus,5629.0,,,,,,,,,,,,,,9.523809523809523e-07,9.09090909090909e-07
Stereum,5644.0,,,,,,,,,,,,,,9.523809523809523e-07,1.5151515151515152e-06
Phytomonas,5706.0,,,,,,,,,,,,,,9.523809523809523e-07,1.818181818181818e-06
Ichthyophthirius,5931.0,,,,,,,,,,,,,,9.523809523809523e-07,3.939393939393939e-06
Azoarcus,12960.0,,,,,,,,,,,,,,9.523809523809523e-07,
Brettanomyces,13366.0,,,,,,,,,,,,,,9.523809523809523e-07,3.636363636363636e-06
Protomyces,27331.0,,,,,,,,,,,,,,9.523809523809523e-07,9.09090909090909e-07
Rathayibacter,33886.0,,,,,,,,,,,,,,9.523809523809523e-07,
Acetobacterium,33951.0,,,,,,,,,,,,,,9.523809523809523e-07,
Rahnella,34037.0,,,,,,,,,,,,,,9.523809523809523e-07,
Simkania,34093.0,,,,,,,,,,,,,,9.523809523809523e-07,
Blattabacterium,34098.0,,,,,,,,,,,,,,9.523809523809523e-07,
Marasmius,34448.0,,,,,,,,,,,,,,9.523809523809523e-07,
Saccharomycodes,36034.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Tuber,36048.0,,,,,,,,,,,,,,9.523809523809523e-07,1.818181818181818e-06
Clavispora,36910.0,,,,,,,,,,,,,,9.523809523809523e-07,4.242424242424242e-06
Pestalotiopsis,37840.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Glaucocystis,38258.0,,,,,,,,,,,,,,9.523809523809523e-07,
Gloeochaete,38268.0,,,,,,,,,,,,,,9.523809523809523e-07,
Botryotinia,40558.0,,,,,,,,,,,,,,9.523809523809523e-07,
Capronia,43220.0,,,,,,,,,,,,,,9.523809523809523e-07,
Ferrimonas,44011.0,,,,,,,,,,,,,,9.523809523809523e-07,
Chattonella,44439.0,,,,,,,,,,,,,,9.523809523809523e-07,
Sphaceloma,49222.0,,,,,,,,,,,,,,9.523809523809523e-07,9.09090909090909e-07
Acidisphaera,50714.0,,,,,,,,,,,,,,9.523809523809523e-07,
Stephanosphaera,51711.0,,,,,,,,,,,,,,9.523809523809523e-07,
Brevibacillus,55080.0,,,,,,,,,,,,,,9.523809523809523e-07,
Sulfurospirillum,57665.0,,,,,,,,,,,,,,9.523809523809523e-07,
Flammeovirga,59739.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Lobosphaera,63682.0,,,,,,,,,,,,,,9.523809523809523e-07,
Euhalothece,65097.0,,,,,,,,,,,,,,9.523809523809523e-07,
Coniochaeta,79808.0,,,,,,,,,,,,,,9.523809523809523e-07,1.5151515151515152e-06
Melanogaster,80614.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Steccherinum,81060.0,,,,,,,,,,,,,,9.523809523809523e-07,
Lasallia,87266.0,,,,,,,,,,,,,,9.523809523809523e-07,
Ruegeria,97050.0,,,,,,,,,,,,,,9.523809523809523e-07,
Gelatoporia,98757.0,,,,,,,,,,,,,,9.523809523809523e-07,
Flintiella,101925.0,,,,,,,,,,,,,,9.523809523809523e-07,
Gloeocapsa,102231.0,,,,,,,,,,,,,,9.523809523809523e-07,
Cyanobacterium,102234.0,,,,,,,,,,,,,,9.523809523809523e-07,
Tremella,105767.0,,,,,,,,,,,,,,9.523809523809523e-07,9.09090909090909e-07
Hysterangium,112993.0,,,,,,,,,,,,,,9.523809523809523e-07,1.5151515151515152e-06
Heterodermia,114962.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-06
Malawimonas,136088.0,,,,,,,,,,,,,,9.523809523809523e-07,6.060606060606061e-07
Cylindrobasidium,139105.0,,,,,,,,,,,,,,9.523809523809523e-07,1.5151515151515152e-06
Delphinella,147559.0,,,,,,,,,,,,,,9.523809523809523e-07,
Phialocephala,150173.0,,,,,,,,,,,,,,9.523809523809523e-07,
Escovopsis,150372.0,,,,,,,,,,,,,,9.523809523809523e-07,
Roseibium,150830.0,,,,,,,,,,,,,,9.523809523809523e-07,
Anaeromyxobacter,161492.0,,,,,,,,,,,,,,9.523809523809523e-07,
Peptoniphilus,162289.0,,,,,,,,,,,,,,9.523809523809523e-07,
Halomicronema,170610.0,,,,,,,,,,,,,,9.523809523809523e-07,
Opitutus,178440.0,,,,,,,,,,,,,,9.523809523809523e-07,
Kouleothrix,186475.0,,,,,,,,,,,,,,9.523809523809523e-07,
Tannerella,195950.0,,,,,,,,,,,,,,9.523809523809523e-07,
Micavibrio,213485.0,,,,,,,,,,,,,,9.523809523809523e-07,2.4242424242424244e-06
Bigelowiella,227085.0,,,,,,,,,,,,,,9.523809523809523e-07,1.818181818181818e-06
Blastomyces,229219.0,,,,,,,,,,,,,,9.523809523809523e-07,
Koliella,242837.0,,,,,,,,,,,,,,9.523809523809523e-07,
Sulfurovum,265570.0,,,,,,,,,,,,,,9.523809523809523e-07,2.7272727272727272e-06
Oribacterium,265975.0,,,,,,,,,,,,,,9.523809523809523e-07,9.09090909090909e-07
Arsenicicoccus,267408.0,,,,,,,,,,,,,,9.523809523809523e-07,
Candidatus Cardinium,273135.0,,,,,,,,,,,,,,9.523809523809523e-07,
Naumovozyma,278028.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-06
Peltaster,286660.0,,,,,,,,,,,,,,9.523809523809523e-07,9.09090909090909e-07
Kordiimonas,288021.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Endocarpon,364710.0,,,,,,,,,,,,,,9.523809523809523e-07,6.060606060606061e-07
Trichodelitschia,372047.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Natranaerobius,375928.0,,,,,,,,,,,,,,9.523809523809523e-07,
Infundibulicybe,378268.0,,,,,,,,,,,,,,9.523809523809523e-07,
Nisaea,390876.0,,,,,,,,,,,,,,9.523809523809523e-07,
Gulbenkiania,397456.0,,,,,,,,,,,,,,9.523809523809523e-07,
Biddulphia,420276.0,,,,,,,,,,,,,,9.523809523809523e-07,
Chelativorans,449972.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Saccharibacillus,456492.0,,,,,,,,,,,,,,9.523809523809523e-07,
Ogataea,461281.0,,,,,,,,,,,,,,9.523809523809523e-07,3.939393939393939e-06
Longilinea,475961.0,,,,,,,,,,,,,,9.523809523809523e-07,
Desulfoluna,497721.0,,,,,,,,,,,,,,9.523809523809523e-07,
Canistrocarpus,499614.0,,,,,,,,,,,,,,9.523809523809523e-07,
Sediminibacterium,504481.0,,,,,,,,,,,,,,9.523809523809523e-07,
Candidatus Hamiltonella,568987.0,,,,,,,,,,,,,,9.523809523809523e-07,
Cyberlindnera,604195.0,,,,,,,,,,,,,,9.523809523809523e-07,2.121212121212121e-06
Candidatus Thioglobus,655184.0,,,,,,,,,,,,,,9.523809523809523e-07,6.060606060606061e-07
Cohaesibacter,655352.0,,,,,,,,,,,,,,9.523809523809523e-07,
Limnohabitans,665874.0,,,,,,,,,,,,,,9.523809523809523e-07,
Actinophytocola,695999.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Polychaeton,705561.0,,,,,,,,,,,,,,9.523809523809523e-07,1.818181818181818e-06
Tomitella,741759.0,,,,,,,,,,,,,,9.523809523809523e-07,
Hyella,945733.0,,,,,,,,,,,,,,9.523809523809523e-07,
Pseudoflavonifractor,1017280.0,,,,,,,,,,,,,,9.523809523809523e-07,
Microthyrium,1037661.0,,,,,,,,,,,,,,9.523809523809523e-07,1.818181818181818e-06
Purpureocillium,1052105.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Stylonectria,1053253.0,,,,,,,,,,,,,,9.523809523809523e-07,
Thelonectria,1053258.0,,,,,,,,,,,,,,9.523809523809523e-07,
Candidatus Photodesmus,1076727.0,,,,,,,,,,,,,,9.523809523809523e-07,
Funneliformis,1117308.0,,,,,,,,,,,,,,9.523809523809523e-07,5.151515151515151e-06
Noviherbaspirillum,1344552.0,,,,,,,,,,,,,,9.523809523809523e-07,
Xerocomellus,1348651.0,,,,,,,,,,,,,,9.523809523809523e-07,
Aestuariibaculum,1386924.0,,,,,,,,,,,,,,9.523809523809523e-07,
Leiotrametes,1391044.0,,,,,,,,,,,,,,9.523809523809523e-07,
Longimycelium,1434016.0,,,,,,,,,,,,,,9.523809523809523e-07,
Polyblepharides,1486888.0,,,,,,,,,,,,,,9.523809523809523e-07,
Verruconis,1494215.0,,,,,,,,,,,,,,9.523809523809523e-07,1.2121212121212122e-06
Kallotenue,1508537.0,,,,,,,,,,,,,,9.523809523809523e-07,9.09090909090909e-07
Candida,1535326.0,,,,,,,,,,,,,,9.523809523809523e-07,9.09090909090909e-07
Tortispora,1540147.0,,,,,,,,,,,,,,9.523809523809523e-07,2.7272727272727272e-06
Dactylonectria,1620264.0,,,,,,,,,,,,,,9.523809523809523e-07,1.2121212121212122e-06
Gimesia,1649453.0,,,,,,,,,,,,,,9.523809523809523e-07,
Planctopirus,1649480.0,,,,,,,,,,,,,,9.523809523809523e-07,
Aliiroseovarius,1658781.0,,,,,,,,,,,,,,9.523809523809523e-07,6.060606060606061e-07
Dissulfurimicrobium,1769732.0,,,,,,,,,,,,,,9.523809523809523e-07,
Crassaminicella,1848399.0,,,,,,,,,,,,,,9.523809523809523e-07,
Viridothelium,1929940.0,,,,,,,,,,,,,,9.523809523809523e-07,2.4242424242424244e-06
Lusitaniella,1983104.0,,,,,,,,,,,,,,9.523809523809523e-07,
Quasibacillus,2047815.0,,,,,,,,,,,,,,9.523809523809523e-07,
Coremiostelium,2065411.0,,,,,,,,,,,,,,9.523809523809523e-07,9.09090909090909e-07
Saccharolobus,2100760.0,,,,,,,,,,,,,,9.523809523809523e-07,
Peribacillus,2675229.0,,,,,,,,,,,,,,9.523809523809523e-07,6.060606060606061e-07
Ktedonosporobacter,2692417.0,,,,,,,,,,,,,,9.523809523809523e-07,
Limosilactobacillus,2742598.0,,,,,,,,,,,,,,9.523809523809523e-07,4.848484848484849e-06
Frigoriglobus,2774146.0,,,,,,,,,,,,,,9.523809523809523e-07,
Lunasporangiospora,2779869.0,,,,,,,,,,,,,,9.523809523809523e-07,3.636363636363636e-06
Maioricimonas,2795777.0,,,,,,,,,,,,,,9.523809523809523e-07,
Mammaliicoccus,2803850.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Aggregatilinea,2806306.0,,,,,,,,,,,,,,9.523809523809523e-07,
Spirabiliibacterium,2820724.0,,,,,,,,,,,,,,9.523809523809523e-07,
Evansella,2837485.0,,,,,,,,,,,,,,9.523809523809523e-07,
Falsiroseomonas,2870713.0,,,,,,,,,,,,,,9.523809523809523e-07,
Azorhizobium,6.0,,,,,,,,,,,,,,4.761904761904762e-07,
Phenylobacterium,20.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Runella,105.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Planctomyces,118.0,,,,,,,,,,,,,,4.761904761904762e-07,
Methylocystis,133.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Spirochaeta,146.0,,,,,,,,,,,,,,4.761904761904762e-07,
Xanthobacter,279.0,,,,,,,,,,,,,,4.761904761904762e-07,
Comamonas,283.0,,,,,,,,,,,,,,4.761904761904762e-07,5.151515151515151e-06
Methylobacterium,407.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Methylobacter,429.0,,,,,,,,,,,,,,4.761904761904762e-07,
Acidiphilium,522.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Yersinia,629.0,,,,,,,,,,,,,,4.761904761904762e-07,0.00047484848484848487
Desulfomicrobium,898.0,,,,,,,,,,,,,,4.761904761904762e-07,
Acidaminococcus,904.0,,,,,,,,,,,,,,4.761904761904762e-07,
Wolbachia,953.0,,,,,,,,,,,,,,4.761904761904762e-07,0.00025909090909090907
Chlorobium,1091.0,,,,,,,,,,,,,,4.761904761904762e-07,
Aphanocapsa,1119.0,,,,,,,,,,,,,,4.761904761904762e-07,
Chlorogloeopsis,1123.0,,,,,,,,,,,,,,4.761904761904762e-07,
Synechocystis,1142.0,,,,,,,,,,,,,,4.761904761904762e-07,
Anabaena,1163.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Sporosarcina,1569.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Saccharopolyspora,1835.0,,,,,,,,,,,,,,4.761904761904762e-07,1.2121212121212122e-06
Thermomonospora,2019.0,,,,,,,,,,,,,,4.761904761904762e-07,
Aeromicrobium,2040.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Mycoplasma,2093.0,,,,,,,,,,,,,,4.761904761904762e-07,
Thermotoga,2335.0,,,,,,,,,,,,,,4.761904761904762e-07,
Roseobacter,2433.0,,,,,,,,,,,,,,4.761904761904762e-07,
Cyanidium,2770.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Dictyota,2875.0,,,,,,,,,,,,,,4.761904761904762e-07,
Oxyrrhis,2968.0,,,,,,,,,,,,,,4.761904761904762e-07,
Spermatozopsis,3191.0,,,,,,,,,,,,,,4.761904761904762e-07,
Torulaspora,4948.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-06
Kockovaella,4998.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Sporidiobolus,5001.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-06
Amorphotheca,5100.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Chaetomium,5149.0,,,,,,,,,,,,,,4.761904761904762e-07,1.818181818181818e-06
Hymenoscyphus,5182.0,,,,,,,,,,,,,,4.761904761904762e-07,
Ascobolus,5190.0,,,,,,,,,,,,,,4.761904761904762e-07,2.4242424242424244e-06
Exidia,5218.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Auricularia,5230.0,,,,,,,,,,,,,,4.761904761904762e-07,
Uromyces,5263.0,,,,,,,,,,,,,,4.761904761904762e-07,
Leucosporidium,5277.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Tilletiaria,5280.0,,,,,,,,,,,,,,4.761904761904762e-07,2.121212121212121e-06
Pleurotus,5320.0,,,,,,,,,,,,,,4.761904761904762e-07,7.575757575757576e-06
Lentinus,5357.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Paxillus,5395.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-06
Arthromyces,5450.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Coccidioides,5500.0,,,,,,,,,,,,,,4.761904761904762e-07,1.2121212121212122e-06
Leptomonas,5683.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Physarum,5790.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Opisthonecta,6025.0,,,,,,,,,,,,,,4.761904761904762e-07,
Pholiota,13205.0,,,,,,,,,,,,,,4.761904761904762e-07,1.2121212121212122e-06
Thiocystis,13724.0,,,,,,,,,,,,,,4.761904761904762e-07,
Metschnikowia,27320.0,,,,,,,,,,,,,,4.761904761904762e-07,9.393939393939394e-06
Rubrivivax,28067.0,,,,,,,,,,,,,,4.761904761904762e-07,
Lyngbya,28073.0,,,,,,,,,,,,,,4.761904761904762e-07,
Geobacter,28231.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Cercospora,29002.0,,,,,,,,,,,,,,4.761904761904762e-07,
Veillonella,29465.0,,,,,,,,,,,,,,4.761904761904762e-07,
Syntrophobacter,29526.0,,,,,,,,,,,,,,4.761904761904762e-07,
Janthinobacterium,29580.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Stichococcus,29646.0,,,,,,,,,,,,,,4.761904761904762e-07,
Sporothrix,29907.0,,,,,,,,,,,,,,4.761904761904762e-07,2.7272727272727272e-06
Paralemanea,31375.0,,,,,,,,,,,,,,4.761904761904762e-07,
Uncinocarpus,33187.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Laminaria,33637.0,,,,,,,,,,,,,,4.761904761904762e-07,
Thalassionema,33648.0,,,,,,,,,,,,,,4.761904761904762e-07,
Catenuloplanes,33874.0,,,,,,,,,,,,,,4.761904761904762e-07,
Caryophanon,33976.0,,,,,,,,,,,,,,4.761904761904762e-07,
Rhodobium,34016.0,,,,,,,,,,,,,,4.761904761904762e-07,
Liberibacter,34019.0,,,,,,,,,,,,,,4.761904761904762e-07,
Cycloclasticus,34067.0,,,,,,,,,,,,,,4.761904761904762e-07,
Variovorax,34072.0,,,,,,,,,,,,,,4.761904761904762e-07,
Microsporum,34392.0,,,,,,,,,,,,,,4.761904761904762e-07,
Prymnesium,35143.0,,,,,,,,,,,,,,4.761904761904762e-07,
Dasya,35165.0,,,,,,,,,,,,,,4.761904761904762e-07,
Parasitella,35721.0,,,,,,,,,,,,,,4.761904761904762e-07,6.363636363636363e-06
Volvariella,36658.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Ideonella,36862.0,,,,,,,,,,,,,,4.761904761904762e-07,
Rhodomonas,37096.0,,,,,,,,,,,,,,4.761904761904762e-07,
Spironucleus,39709.0,,,,,,,,,,,,,,4.761904761904762e-07,1.5151515151515152e-06
Dialister,39948.0,,,,,,,,,,,,,,4.761904761904762e-07,2.121212121212121e-06
Hypsizygus,39965.0,,,,,,,,,,,,,,4.761904761904762e-07,
Candidatus Magnetobacterium,40118.0,,,,,,,,,,,,,,4.761904761904762e-07,
Fonsecaea,40354.0,,,,,,,,,,,,,,4.761904761904762e-07,
Desulforhopalus,40413.0,,,,,,,,,,,,,,4.761904761904762e-07,
Daedalea,40436.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Gloeophyllum,40443.0,,,,,,,,,,,,,,4.761904761904762e-07,
Elsinoe,40996.0,,,,,,,,,,,,,,4.761904761904762e-07,1.2121212121212122e-06
Choricystis,41299.0,,,,,,,,,,,,,,4.761904761904762e-07,
Candidatus Microthrix,41949.0,,,,,,,,,,,,,,4.761904761904762e-07,
Anaerobranca,42447.0,,,,,,,,,,,,,,4.761904761904762e-07,
Kutzneria,43356.0,,,,,,,,,,,,,,4.761904761904762e-07,
Ulothrix,43940.0,,,,,,,,,,,,,,4.761904761904762e-07,
Vischeria,44431.0,,,,,,,,,,,,,,4.761904761904762e-07,
Pleurocapsa,44474.0,,,,,,,,,,,,,,4.761904761904762e-07,
Choiromyces,44639.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Emericellopsis,45244.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Desulfonema,45654.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Nadsonia,45785.0,,,,,,,,,,,,,,4.761904761904762e-07,3.3333333333333333e-06
Geovibrio,46200.0,,,,,,,,,,,,,,4.761904761904762e-07,
Dactylella,47025.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Pyronema,47204.0,,,,,,,,,,,,,,4.761904761904762e-07,
Hydrogenophaga,47420.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Basichlamys,47778.0,,,,,,,,,,,,,,4.761904761904762e-07,
Volvulina,47792.0,,,,,,,,,,,,,,4.761904761904762e-07,
Microbulbifer,48073.0,,,,,,,,,,,,,,4.761904761904762e-07,1.5151515151515152e-06
Bracteacoccus,50036.0,,,,,,,,,,,,,,4.761904761904762e-07,
Rickenella,50989.0,,,,,,,,,,,,,,4.761904761904762e-07,
Mitsuokella,52225.0,,,,,,,,,,,,,,4.761904761904762e-07,
Lamprocystis,53452.0,,,,,,,,,,,,,,4.761904761904762e-07,
Chroococcidiopsis,54298.0,,,,,,,,,,,,,,4.761904761904762e-07,
Fibularhizoctonia,56747.0,,,,,,,,,,,,,,4.761904761904762e-07,
Kocuria,57493.0,,,,,,,,,,,,,,4.761904761904762e-07,
Rickettsiella,59195.0,,,,,,,,,,,,,,4.761904761904762e-07,
Pseudochlorella,63681.0,,,,,,,,,,,,,,4.761904761904762e-07,
Nevskia,64001.0,,,,,,,,,,,,,,4.761904761904762e-07,
Cyclobacterium,68288.0,,,,,,,,,,,,,,4.761904761904762e-07,
Clavulina,68756.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Chroococcus,70190.0,,,,,,,,,,,,,,4.761904761904762e-07,
Frateuria,70411.0,,,,,,,,,,,,,,4.761904761904762e-07,
Panaeolus,71684.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Rhodocollybia,71917.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Termitomyces,71927.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Methylocaldum,73778.0,,,,,,,,,,,,,,4.761904761904762e-07,
Lotharella,74819.0,,,,,,,,,,,,,,4.761904761904762e-07,
Chitinophaga,79328.0,,,,,,,,,,,,,,4.761904761904762e-07,1.0606060606060606e-05
Coniophora,80635.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Cladophialophora,82105.0,,,,,,,,,,,,,,4.761904761904762e-07,
Desulfonispora,83660.0,,,,,,,,,,,,,,4.761904761904762e-07,
Allochromatium,85072.0,,,,,,,,,,,,,,4.761904761904762e-07,
Mollisia,86026.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Gymnopilus,86085.0,,,,,,,,,,,,,,4.761904761904762e-07,
Sterkiella,94288.0,,,,,,,,,,,,,,4.761904761904762e-07,
Trachelomonas,96503.0,,,,,,,,,,,,,,4.761904761904762e-07,
Eutypa,97095.0,,,,,,,,,,,,,,4.761904761904762e-07,
Chloroherpeton,100715.0,,,,,,,,,,,,,,4.761904761904762e-07,
Madurella,100815.0,,,,,,,,,,,,,,4.761904761904762e-07,
Thamnidium,101141.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Glarea,101851.0,,,,,,,,,,,,,,4.761904761904762e-07,1.2121212121212122e-06
Pterula,104239.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Aphanochaete,104530.0,,,,,,,,,,,,,,4.761904761904762e-07,
Apiotrichum,105983.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Pelistega,106146.0,,,,,,,,,,,,,,4.761904761904762e-07,
Tephrocybe,117062.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Pedobesia,118241.0,,,,,,,,,,,,,,4.761904761904762e-07,
Dichotomosiphon,118262.0,,,,,,,,,,,,,,4.761904761904762e-07,
Ustilaginoidea,124426.0,,,,,,,,,,,,,,4.761904761904762e-07,1.2121212121212122e-06
Thiobaca,127457.0,,,,,,,,,,,,,,4.761904761904762e-07,
Diophrys,132686.0,,,,,,,,,,,,,,4.761904761904762e-07,
Punctularia,133746.0,,,,,,,,,,,,,,4.761904761904762e-07,1.818181818181818e-06
Bangiopsis,139979.0,,,,,,,,,,,,,,4.761904761904762e-07,
Thermosynechococcus,146785.0,,,,,,,,,,,,,,4.761904761904762e-07,
Piedraia,147572.0,,,,,,,,,,,,,,4.761904761904762e-07,1.2121212121212122e-06
Phlebopus,150793.0,,,,,,,,,,,,,,4.761904761904762e-07,
Pigmentiphaga,152267.0,,,,,,,,,,,,,,4.761904761904762e-07,
Dentipellis,154746.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Vararia,154750.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Lobophora,157000.0,,,,,,,,,,,,,,4.761904761904762e-07,
Peltula,157480.0,,,,,,,,,,,,,,4.761904761904762e-07,
Phaeomoniella,158045.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Lingulodinium,160620.0,,,,,,,,,,,,,,4.761904761904762e-07,6.212121212121213e-05
Haliangium,162027.0,,,,,,,,,,,,,,4.761904761904762e-07,
Planctonema,163319.0,,,,,,,,,,,,,,4.761904761904762e-07,
Novosphingobium,165696.0,,,,,,,,,,,,,,4.761904761904762e-07,1.2121212121212122e-06
Kaistia,166953.0,,,,,,,,,,,,,,4.761904761904762e-07,
Dictyoneurum,169783.0,,,,,,,,,,,,,,4.761904761904762e-07,
Udotea,170436.0,,,,,,,,,,,,,,4.761904761904762e-07,
Imshaugia,172620.0,,,,,,,,,,,,,,4.761904761904762e-07,
Victivallis,172900.0,,,,,,,,,,,,,,4.761904761904762e-07,
Cephaleuros,173369.0,,,,,,,,,,,,,,4.761904761904762e-07,
Neodangemannia,173494.0,,,,,,,,,,,,,,4.761904761904762e-07,
Tricholomella,180950.0,,,,,,,,,,,,,,4.761904761904762e-07,
Aurantimonas,182269.0,,,,,,,,,,,,,,4.761904761904762e-07,
Artomyces,182276.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Persephonella,182899.0,,,,,,,,,,,,,,4.761904761904762e-07,
Calycina,186310.0,,,,,,,,,,,,,,4.761904761904762e-07,
Acetoanaerobium,186831.0,,,,,,,,,,,,,,4.761904761904762e-07,
Gymnophrys,188963.0,,,,,,,,,,,,,,4.761904761904762e-07,
Chlorodesmis,189429.0,,,,,,,,,,,,,,4.761904761904762e-07,
Nautilia,191291.0,,,,,,,,,,,,,,4.761904761904762e-07,
