Class,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Terrestrial Hot Spring Gp(THSCG),,,,,,,,,,,,,,,,,,2e-06,9e-06,,3.9e-06,3.9e-06,4e-06,4e-06,3.5e-06
Terriglobia,,,,,,,,,,,,,,,,6e-06,9e-06,1.4e-05,1.6e-05,9e-06,2.1e-05,1.84e-05,1.94e-05,1.94e-05,2.23e-05
Terrimicrobiia,,,,,,,,,,,,,,,,,,,,,8e-07,,8e-07,,9e-07
Tetraphidopsida,,,,,,,,,,,,,,,,,,2e-06,2e-06,,6e-07,9e-07,3e-07,4e-07,1.8e-06
Thaumarchaeota Unknown Order,,,,,,,,,,,,,,,,5e-06,,,,,4e-07,6e-07,5e-07,2.2e-06,6e-07
Thecofilosea,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,3e-07,3e-07,
Thecostraca,,,,,,,,,,,,,,,,,,2e-06,,,1.1e-06,1.6e-06,7e-07,6e-07,1.2e-06
Thermoanaerobaculia,,,,,,,,,,,6e-05,,,9e-05,,8.2e-05,6.9e-05,7.8e-05,6.2e-05,7.2e-05,4.73e-05,4.79e-05,4.39e-05,4.78e-05,4.74e-05
Thermococci,,,,,,,,,,,,,,,,,,,,,1.3e-06,6e-07,5e-07,7e-07,8e-07
Thermodesulfobacteria,,,,,,,,,,,,,,,,,,,,,4e-07,6e-07,5e-07,4e-07,6e-07
Thermodesulfovibrionia,,,,,,,,,,,,,,,,,,,,,1.4e-06,1.5e-06,1.6e-06,1.4e-06,2e-06
Thermoflexia,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Thermoleophilia,,,,,,,,,,,,,,6e-05,9e-05,0.000292,0.000278,0.000224,0.000239,0.000419,0.0003855,0.0004051,0.0003595,0.0004204,0.0004369
Thermomicrobia,,,,,,,,,,,,,,,,6e-06,2e-06,,7e-06,3e-06,9.6e-06,9.9e-06,9.3e-06,9e-06,9.4e-06
Thermoplasmata,,,,,,0.0003,0.0006,,0.0009,0.0014,0.0007,0.00086,0.00068,0.00084,0.00069,0.00092,0.000878,0.000868,0.000904,0.000899,0.0009874,0.0009981,0.0009962,0.0009963,0.0010068
Thermoprotei,,,,,,,,,,,3e-05,,,,,9e-06,1.5e-05,2.2e-05,2.2e-05,1.5e-05,3.54e-05,3.68e-05,3.46e-05,3.87e-05,3.59e-05
Thermotogae,,,,,,,,,,,,,,,,1.5e-05,1.2e-05,1.1e-05,1e-05,5e-06,1.47e-05,1.54e-05,1.79e-05,1.64e-05,1.87e-05
Tissierellia,,,,,,,,,,,,,,,,,,,,,3.2e-06,4.2e-06,4.9e-06,3.7e-06,2.9e-06
Trebouxiophyceae,,,,,,,,,,,,,6e-05,,7e-05,5.7e-05,5.4e-05,4.8e-05,4.5e-05,8.1e-05,7.44e-05,5.88e-05,6.91e-05,5.65e-05,5.93e-05
Trematoda,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07
Tremellomycetes,,,,,,0.002,0.003,0.003,0.0025,0.0019,0.00269,0.0027,0.00271,0.00261,0.00259,0.002579,0.002657,0.002663,0.002716,0.00264,0.00262,0.0026257,0.0026166,0.0026137,0.002618
Tubulinea,,,,,,,,,,,,,,,,,,,,,2e-07,8e-07,2e-07,2e-07,6e-07
UA11,,,,,,,,,,,,,,,,,,,,,6e-07,7e-07,6e-07,,
Ulvophyceae,,,,,,,,,,,,,,2e-05,2e-05,1.2e-05,1.4e-05,1.6e-05,9e-06,1.1e-05,2.1e-05,2.34e-05,2.16e-05,2.1e-05,2.17e-05
Umbelopsidomycetes,,,,,,,,,,,,,,,,,4e-06,,,,1e-06,1.3e-06,1e-06,1.4e-06,1.7e-06
Ustilaginomycetes,,,,,,,,,,,,,,,,6e-06,,,2e-06,,9.9e-06,7.6e-06,1.19e-05,5.3e-06,1.22e-05
Ustilaginomycotina,,,,,,,,,,,6e-05,,2e-05,2e-05,2e-05,4.3e-05,4.2e-05,3.4e-05,5.4e-05,5.8e-05,6.75e-05,6.6e-05,6.56e-05,6.88e-05,7.23e-05
Vampirivibrionia,,,,,,,,,,,,,,,,,,,3e-06,,1.4e-06,2.7e-06,1.2e-06,1.1e-06,2.3e-06
Variosea,,,,,,,,,,,,,,,,,5e-06,,1.3e-05,9e-06,9.3e-06,8.7e-06,9.3e-06,9.5e-06,7.9e-06
Verrucomicrobia Unknown Order,,,,,,,,,,,,2e-05,,,,1.2e-05,1.4e-05,1.6e-05,1.1e-05,1.4e-05,1.31e-05,1.25e-05,1.43e-05,1.29e-05,1.24e-05
Verrucomicrobiae,,,,,,0.0014,0.0014,0.0008,0.0011,0.0008,0.00126,0.00127,0.00143,0.00138,0.00134,0.00129,0.001233,0.001191,0.00113,0.001182,0.0012042,0.0012342,0.0012257,0.001213,0.0012149
Verrucomicrobiia,,,,,,,0.0013,0.0008,,0.0007,0.00075,0.001,0.00109,0.00077,0.00082,0.000938,0.000954,0.00093,0.000955,0.000898,0.0008602,0.0008684,0.0008731,0.0008626,0.0008631
Vicinamibacteria,,,,,,,,,,,,,,,,8e-06,1.3e-05,,1e-05,1e-05,5.5e-06,5.6e-06,5.9e-06,6.7e-06,5.4e-06
W5,,,,,,,,,,,,,,,,,,,,,5e-07,2e-07,2e-07,,6e-07
WCHA1-57,,,,,,,,,,,,,,,,2e-06,,2e-06,,2e-06,6.4e-06,6.8e-06,7.2e-06,7e-06,6.9e-06
WCHB1-32,,,,,,,,,,,,,,,2e-05,1.7e-05,1.7e-05,7e-06,1.4e-05,9e-06,1.33e-05,1.47e-05,1.4e-05,1.45e-05,1.61e-05
WCHB1-41,,,,,,,,,,,2e-05,,,,2e-05,5.7e-05,7.1e-05,5.7e-05,7.1e-05,8.1e-05,0.0001494,0.0001549,0.0001662,0.0001476,0.0001626
WCHB1-81,,,,,,,,,,,,,,,,,,,,,1e-06,9e-07,8e-07,1e-06,1.1e-06
WPS-2,,,,,,,,,,,,,,,,,,,3e-06,,1.7e-06,2e-06,1.8e-06,1.4e-06,1.9e-06
WWE3,,,,,,,,,,,,,,,,2e-06,2e-06,2e-06,,2e-06,1.2e-06,1.3e-06,1.5e-06,1.5e-06,1e-06
Wallemiomycetes,,,,,,,,,,,,,,,,5e-06,,,,,8e-07,7e-07,1e-06,6e-07,1.2e-06
Xenacoelomorpha,,,,,,0.0035,0.0027,0.0024,0.0034,0.0039,0.00272,0.00314,0.00304,0.00291,0.00284,0.002765,0.00286,0.002789,0.002737,0.002826,0.0027924,0.0027956,0.0028081,0.0027872,0.0028082
Z273FA48,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
Z7ME43,,,,,,,,,,,,,,,,,,,,,,1.5e-06,2e-07,6e-07,1e-06
Zetaproteobacteria,,,,,,,,,,,,,,,,,4e-06,7e-06,8e-06,,5.1e-06,5.2e-06,5.1e-06,5.2e-06,5.3e-06
Zixibacteria,,,,,,,,,,,,,,,,,,,,,9e-07,8e-07,8e-07,1.3e-06,7e-07
Zoopagomycetes,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Zygnematophyceae,,,,,,,,0.0022,,,0.00036,,0.00024,0.00047,0.00075,0.000646,0.000566,0.0006,0.000597,0.000644,0.0006042,0.0005989,0.0005953,0.0005956,0.0005948
Zygnemophyceae,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,9e-07,8e-07,3.4e-06
archaeon GW2011_AR13  ,,,,,,,,,,,,,,,,,,,,,6e-07,5e-07,7e-07,4e-07,5e-07
archaeon GW2011_AR17  ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
archaeon GW2011_AR18  ,,,,,,,,,,,,,,,,,,,,,5e-07,4e-07,6e-07,8e-07,4e-07
archaeon enrichment culture clone C1-1C-A,,,,,,,,,,,,,,,,2e-06,,,,,3e-07,7e-07,4e-07,3e-07,6e-07
bacterium RFB D08  ,,,,,,,,,,,,,,,,,,,,,,,3e-07,,4e-07
bacterium enrichment culture clone,,,,,,,,,,,,,,,,,,3e-06,,1.1e-05,3.2e-06,1.7e-06,3e-06,,2.8e-06
candidate division TM6 bacterium,,,,,,,,,,,,,,,,,,,,,,,,,8e-07
candidate division WS6 bacterium OLB21,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
crenarchaeote enrichment culture clone 61-23f,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
d142,,,,,,,,,,,,,,,,,,2e-06,,,1e-06,7e-07,1e-06,1.1e-06,1e-06
groundwater metagenome   ,,,,,,,,,,,,,,,,,,,,,2e-07,5e-07,7e-07,6e-07,6e-07
hydrothermal vent metagenome  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,
marine metagenome ,,,,,,,,,,,,,,,,,,3e-06,,,1.8e-06,2.6e-06,2.2e-06,2.7e-06,2.1e-06
marine metagenome  ,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,1.4e-06,4e-07,
marine metagenome   ,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,1.3e-06,,1.2e-06
marine sediment,,,,,,,,,,,,,,,,5e-06,5e-06,3e-06,2e-06,,2.3e-06,2.7e-06,2.7e-06,2.8e-06,2e-06
metal-contaminated soil clone K20-27 ,,,,,,,,,,,,,,,,,,,,,3e-07,,,,2e-07
miscellaneous Crenarchaeota group archaeon SMTZ-80,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
pItb-vmat-80,,,,,,,,,,,,,,,,1.2e-05,,,,,6.6e-06,6.1e-06,6e-06,5.3e-06,6.7e-06
pSL12,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
terrestrial metagenome   ,,,,,,,,,,,,,,,,,,,,,3e-07,5e-07,4e-07,,2e-07
uncultured,,,,,,,,,,,,,,2e-05,2e-05,1e-05,1.5e-05,9e-06,3e-06,,1.21e-05,1.28e-05,1.03e-05,1.8e-05,1.64e-05
uncultured Aminicenantes bacterium  ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07,
uncultured Caldiserica bacterium  ,,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,
uncultured Candidatus Dependentiae bacterium,,,,,,,,,,,,,,,,,,,,,,2e-07,5e-07,,
uncultured Candidatus Saccharibacteria bacterium ,,,,,,,,,,,,,,,,,,,,,1.59e-05,2e-06,1e-06,1.42e-05,1.8e-06
uncultured Epsilonproteobacteria bacterium  ,,,,,,0.0004,,0.0002,0.0004,0.0004,0.00027,0.00033,0.0003,0.00034,0.00037,0.000321,0.000344,0.000284,0.000302,0.000323,0.0003104,0.0003132,0.0003058,0.0003134,0.0003044
uncultured KB1 group bacterium ,,,,,,,,,,,,,,,,,,,2e-06,,8e-07,1.4e-06,1.3e-06,1e-06,8e-07
uncultured Latescibacteria bacterium  ,,,,,,,,,,,,,,,,,,,,,7e-07,,,,1.2e-06
uncultured Microgenomates group bacterium,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,,
uncultured Microgenomates group bacterium ,,,,,,,,,,,,,,,,2e-06,4e-06,6e-06,3e-06,2e-06,5.1e-06,2.7e-06,4.4e-06,3.9e-06,4.5e-06
uncultured Nitrospirae bacterium  ,,,,,,,,,,,,,,,,,,,,,1.2e-06,1.3e-06,1.3e-06,1.2e-06,1.4e-06
uncultured Parcubacteria group bacterium ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
uncultured Telonemida  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07
uncultured anaerobic bacterium  ,,,,,,,,,,,,,,,,,,,,,,7e-07,7e-07,9e-07,
uncultured archaeon,,,,,,,,,,,,2e-05,,2e-05,3e-05,1.7e-05,2.1e-05,1.8e-05,2.1e-05,3.3e-05,2.33e-05,2.44e-05,2.38e-05,2.5e-05,2.48e-05
uncultured archaeon ,,,,,,,,,,,,,,,,,2e-06,,,2e-06,3.1e-06,2.6e-06,4.7e-06,3e-06,3.5e-06
uncultured archaeon  ,,,,,,,,,,0.0002,0.00014,0.00016,0.0001,0.00019,0.00015,8.6e-05,0.000106,0.000116,0.000111,0.000113,0.0001289,0.0001209,0.0001256,0.0001235,0.0001289
uncultured archaeon   ,,,,,,0.0009,0.0004,0.0007,0.0009,0.0013,0.00104,0.00126,0.00086,0.00134,0.00086,0.001066,0.000963,0.001173,0.000967,0.001112,0.0011422,0.0011225,0.0011601,0.0011627,0.0011215
uncultured archaeon 19a-29  ,,,,,,,,,,,,,,,,,,,,,1.4e-06,1.4e-06,1.1e-06,1.2e-06,1e-06
uncultured archaeon Arc.212  ,,,,,,,,,,,,,,,,,,,4e-06,4e-06,3.3e-06,2.7e-06,2.9e-06,2.3e-06,3.2e-06
uncultured archaeon PENDANT-33 ,,,,,,,,,,,,,,,,,,,,,8e-07,,,,6e-07
uncultured archaeon WCHD3-30 ,,,,,,,,,,,,,,,,,,,2e-06,,,,,,
uncultured bacterium ,,,,,,,,,,,,,,,,,,,,3e-06,1.9e-06,2.5e-06,1.9e-06,3e-06,2.9e-06
uncultured bacterium  ,,,,,,,,,,,,6e-05,2e-05,,3e-05,9e-06,2.8e-05,1.3e-05,1.9e-05,2.5e-05,2.8e-05,2.56e-05,2.7e-05,2.33e-05,2.42e-05
uncultured bacterium   ,0.01,0.009,0.006,0.007,0.016,0.0106,0.0125,0.0123,0.0111,0.0108,0.01166,0.01114,0.01134,0.01144,0.01135,0.011535,0.01159,0.011728,0.01159,0.011705,0.0116807,0.0116575,0.0116344,0.0117014,0.011651
uncultured bacterium 'KTK 14' ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
uncultured bacterium I025  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
uncultured candidate division AC1 bacterium,,,,,,,,,,,,,,,,,,,,,,,,,7e-07
uncultured candidate division BRC1 bacterium,,,,,,,,,,,,,,,,,,,,,,5e-07,3e-07,,6e-07
uncultured candidate division JS1 bacterium,,,,,,,,,,,,,,,,5e-06,,5e-06,,,4.6e-06,6.4e-06,4.3e-06,6.8e-06,6.8e-06
uncultured candidate division SR1,,,,,,,,,,,,3e-05,3e-05,,,1.7e-05,2.3e-05,2.5e-05,2e-05,1.2e-05,1.91e-05,1.96e-05,2.09e-05,1.97e-05,1.74e-05
uncultured candidate division WS6 bacterium,,,,,,,,,,,,,,,,,,2e-06,,2e-06,2.6e-06,2.4e-06,2.2e-06,2.8e-06,2.2e-06
uncultured candidate division WWE3 bacterium,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.3e-06,1.5e-06,1.5e-06,8e-07
uncultured crenarchaeote,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,4e-07,2e-07,3e-07
uncultured crenarchaeote ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
uncultured crenarchaeote  ,,,,,,,,,,,,,,,,,2e-06,,,,1.1e-06,8e-07,9e-07,1.3e-06,8e-07
uncultured crenarchaeote   ,,,,,,,,,,,,,,,2e-05,5e-06,1.2e-05,8e-06,4e-06,6e-06,2.42e-05,2.05e-05,2.29e-05,2.06e-05,2.06e-05
uncultured crenarchaeote pBRKC135  ,,,,,,,,,,,,,,,,,,,,,5e-07,,1e-06,8e-07,
uncultured cyanobacterium   ,,,,,,,,,,,,,,,,,,,,,5e-07,,,,
uncultured deep-sea bacterium  ,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,,5e-07,3e-07
uncultured eubacterium WCHB1-60  ,,,,,,,,,,,,,,,,,,,,,1.3e-06,1e-06,9e-07,1.1e-06,1e-06
uncultured eukaryote  ,,,,,,,,,,,,,,,,3.8e-05,4.5e-05,5.1e-05,4.9e-05,4.1e-05,4.84e-05,4.57e-05,4.99e-05,4.96e-05,4.96e-05
uncultured eukaryote   ,,,,,,,,,,,,,,,,,,,,,3.3e-06,9e-07,1.4e-06,1.4e-06,2.8e-06
uncultured euryarchaeote,,,,,,,,,,,,,,,,2e-06,5e-06,3e-06,4e-06,2e-06,4.9e-06,4.2e-06,3.8e-06,4.3e-06,4.6e-06
uncultured euryarchaeote ,,,,,,,,,,,,,,,,,,,,,4e-07,,2e-07,6e-07,
uncultured euryarchaeote  ,,,,,,,,,,,,,,,,2e-06,4e-06,2e-06,,,1.32e-05,1.03e-05,1.03e-05,9.6e-06,9.2e-06
uncultured euryarchaeote   ,,,,,,,,,,,,,,,,,8e-06,2.5e-05,,1.6e-05,1.48e-05,1.57e-05,4e-07,1.66e-05,2.1e-06
uncultured fungus  ,,,,,,,,,,,9e-05,0.00014,0.00014,9e-05,0.00015,0.000127,0.000135,0.000133,0.000137,0.000127,0.0001294,0.000136,0.0001352,0.0001366,0.0001335
uncultured fungus   ,,,,,,,,,,,,,,,,,,,,,2e-06,1.9e-06,8e-07,7e-07,9e-07
uncultured marine,,,,,,,,,,,,,,,,,,,,,,4e-07,,,
uncultured marine bacterium ,,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,3e-07
uncultured marine eukaryote ,,,,,,,,,,,,,,,,,2e-06,,,,6e-07,1.1e-06,9e-07,1e-06,8e-07
uncultured marine eukaryote  ,,,,,,,,,,,0.00012,0.00012,0.00016,0.00012,8e-05,0.000117,0.0001,0.000111,0.000114,0.000107,0.0001045,0.0001032,0.0001091,0.0001082,0.0001127
uncultured methanogenic archaeon ,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
uncultured methanogenic archaeon  ,,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,3e-07,2e-07
uncultured microeukaryote   ,,,,,,,,,,,0.00014,0.00014,7e-05,0.00012,0.00011,7.8e-05,7.9e-05,8.8e-05,8.1e-05,7.5e-05,7.32e-05,7.53e-05,7.64e-05,8.05e-05,7.84e-05
uncultured microorganism  ,,,,,,,,,,,,,,,,,,,2e-06,,1e-06,5e-07,5e-07,6e-07,6e-07
uncultured microorganism   ,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,3e-07
uncultured opisthokont  ,,,,,,,,,,,,,,,,,,,,,4.2e-06,3.5e-06,3.4e-06,4.1e-06,5.1e-06
uncultured organism ,,,,,,,,,,,,,,,,,,,,,1.1e-06,9e-07,1e-06,5e-07,1e-06
uncultured organism  ,,,,,,,,,,,,,,,,7e-06,,5e-06,,3e-06,4.4e-06,3.5e-06,3.2e-06,4.1e-06,4.5e-06
uncultured organism   ,,,,,,,,,,,,2e-05,,,,7e-06,1.5e-05,9e-06,7e-06,8e-06,3.02e-05,3.15e-05,3.08e-05,3.04e-05,3.17e-05
uncultured planctomycete   ,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
uncultured soil bacterium  ,,,,,,,,,,,,,,,,2.4e-05,,1.2e-05,,9e-06,9.4e-06,1.03e-05,1.36e-05,8.5e-06,1.1e-05
unidentified archaeon  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
unidentified archaeon   ,,,,,,,,,,,,,,,,2e-06,,,,2e-06,9e-07,9e-07,9e-07,1.6e-06,8e-07
vadinHA49,,,,,,,,,,,,,,,,1.7e-05,9e-06,1.2e-05,1.4e-05,1.3e-05,2.46e-05,2.48e-05,2.26e-05,2.41e-05,2.48e-05
